verification_status,reviews,polarity,tag
Trip Verified,"'never', 'saw', 'terrible', 'customer', 'experience', 'plane', 'landed', 'already', '30', 'minutes', 'late', 'despite', 'operational', 'delays', 'boarding', 'took', '1', 'hour', 'crew', 'know', 'place', 'luggages', 'long', '1', 'hour', 'boarding', 'process', 'captain', 'apologise', 'extremely', 'frustrating', 'occurs', 'night', 'flight', 'forcing', 'passengers', 'lose', 'train', 'connections', 'home'",-0.4375,Negative
Trip Verified,"'flown', 'ba', 'years', 'read', 'reviews', 'preparation', 'needless', 'say', 'boarded', 'flight', 'low', 'expectations', 'pleasantly', 'surprised', 'flight', 'ok', 'left', 'lhr', 'minutes', 'early', 'arrived', 'jnb', 'ahead', 'schedule', 'cabin', 'crew', 'although', 'good', 'carriers', 'attentive', 'professional', 'onboard', 'catering', 'disappointment', 'unlucky', 'miss', 'chicken', 'given', 'sloppy', 'pasta', 'board', 'entertainment', 'never', 'bas', 'strong', 'point', 'sadly', 'hasnt', 'changed', 'unfortunately', 'ba', 'prestigious', 'carrier', 'bad', 'experience', 'reviews', 'suggest'",-0.09270833333333334,Negative
Trip Verified,"'dear', 'community', 'feel', 'compelled', 'share', 'utter', 'frustration', 'disappointment', 'defined', 'recent', 'travel', 'experience', 'british', 'airways', 'buckle', 'folks', 'ones', 'rollercoaster', 'july', '16', '17', '2023', 'displeasure', 'flying', 'british', 'airways', 'ba709', 'ba7', 'let', 'tell', 'nightmare', 'initial', 'flight', 'zurich', 'zrh', 'london', 'lhr', 'ba709', 'faced', 'seemingly', 'unavoidable', 'onehour', 'delay', 'upon', 'arrival', 'lhr', 'course', 'resulted', 'missing', 'connection', 'tokyo', 'triggering', 'automatic', 'rescheduling', 'flight', 'tokyo', 'hnd', 'via', 'beijing', 'air', 'china', 'oh', 'fun', 'didnt', 'stop', '—', 'flight', 'ca183', 'also', 'delayed', 'turning', '16hour', 'delay', 'grand', 'total', '23', 'hours', 'finally', 'arriving', 'tokyo', '2300', 'instead', 'promised', '710', 'cherry', 'top', 'four', 'checkedin', 'suitcases', 'decided', 'take', 'detour', 'didnt', 'join', 'tokyo', 'forcing', 'waste', 'additional', 'two', 'hours', 'filling', 'forms', 'baggage', 'center', 'finally', 'got', 'lost', 'luggage', 'back', 'july', '23', 'make', 'easy', 'right', 'wait', 'theres', 'return', 'flight', 'tokyo', 'zurich', 'ba8', 'august', '8', 'also', 'danced', 'delay', 'tune', 'making', 'question', 'punctuality', 'myth', 'british', 'airways', 'cumulative', 'impact', 'delays', 'torpedoed', 'vacation', 'plans', 'stealing', 'whole', 'day', 'scheduled', 'activities', 'including', 'guided', 'tokyo', 'tour', 'werent', 'enough', 'dig', 'deeper', 'pockets', 'unforeseen', 'expenses—extra', 'airport', 'transfers', 'tour', 'operator', 'assistance', 'fees', 'emergency', 'purchases', 'airport', 'meals', 'international', 'calls', 'rearrangements', 'lack', 'assistance', 'lhr', 'airport', 'icing', 'bitter', 'cake', 'installing', 'ba', 'app', 'get', 'basic', 'information', 'alternative', 'connection', 'flights', 'hassle', 'fact', 'ba', 'clerk', 'could', 'provide', 'info', 'person', 'downright', 'infuriating', 'british', 'airways', 'youve', 'left', 'sour', 'taste', 'mouth', 'dent', 'wallet', 'heres', 'hoping', 'take', 'feedback', 'seriously', 'step', 'game', 'right', 'good', 'look', 'frustrated', 'fed', 'bert'",-0.005411255411255412,Negative
Trip Verified,"'quick', 'bag', 'drop', 'first', 'wing', 'many', 'passengers', 'use', 'fast', 'track', 'security', 'main', 'terminal', 'direct', 'entry', 'concorde', 'room', 'outside', 'security', 'south', 'ate', 'excellent', 'breakfast', 'served', 'promptly', 'concorde', 'room', 'nice', 'place', 'wait', 'flight', 'interesting', 'memorabilia', 'excellent', 'bar', 'boarding', 'c', 'gates', 'disorganised', 'slow', 'board', 'cabin', 'crew', 'excellent', 'good', 'choice', 'beverages', 'high', 'quality', 'food', 'good', 'seat', 'comfortable', 'first', 'bedding', 'provided', 'time', 'arrival', 'miami', 'baggage', 'took', '1', 'hour', 'arrive'",0.4200000000000001,Positive
Trip Verified,"'4', 'hours', 'takeoff', 'received', 'mail', 'stating', 'cryptic', 'message', 'disruptions', 'expected', 'limit', 'many', 'planes', 'leave', 'time', 'capacity', 'heathrow', 'airport', 'really', 'hit', 'british', 'airways', 'surprise', '4h', 'departure', 'anyhow', 'took', 'one', 'hour', 'delay', 'forced', 'check', 'hand', 'luggage', 'travel', 'hand', 'luggage', 'avoid', 'waiting', 'ultra', 'slow', 'processing', 'checked', 'luggage', 'overall', '2h', 'later', 'home', 'planed', 'really', 'reason', 'due', 'incompetent', 'people', 'service', 'level', 'far', 'worse', 'ryanair', 'triple', 'price', 'really', 'never', 'thanks', 'nothing'",-0.04821428571428571,Negative
Trip Verified,"'recently', 'delay', 'british', 'airways', 'bru', 'lhr', 'due', 'staff', 'shortages', 'announced', '2', 'hour', 'holding', 'delay', 'would', 'board', 'us', 'immediately', 'hopes', 'clearing', 'gate', 'leaving', 'early', 'wait', 'full', '2', 'hours', 'inside', 'airplane', 'plane', 'old', 'dirty', 'power', 'seats', 'staff', 'provided', 'small', 'bag', 'pretzels', '250ml', 'water', 'passengers', '2', 'hour', 'delay', '2', 'hour', 'flight', 'options', 'purchase', 'food', 'drink', 'entertainment', 'options', 'available', 'oneworld', 'emerald', 'elite', 'member', 'upgrade', 'members', 'based', 'status', 'first', 'class', 'lounges', 'heathrow', 'overcrowded', 'understaffed', 'poorly', 'equipped', 'help', 'desk', 'completely', 'unhelpful', 'error', 'arises', 'delays', 'cancellations', 'even', 'top', 'status', 'avios', 'points', 'system', 'devalued', 'near', 'worthlessness', 'requires', 'fees', 'book', 'reward', 'nearly', 'equal', 'price', 'revenue', 'ticket', 'british', 'lost', 'way', 'recent', 'years', 'moved', 'worldclass', 'airline', 'budget', 'airline', 'much', 'worse', 'service', 'timeliness', 'ryanair', 'easyjet'",0.006944444444444438,Positive
Not Verified,"'boarded', 'time', 'took', 'ages', 'get', 'runway', 'due', 'congestion', 'flight', 'smooth', 'quick', 'snack', 'drinks', 'good', 'short', 'flight', 'landed', 'ten', 'minutes', 'late', 'one', 'bag', 'three', 'left', 'london', 'forms', 'quickly', 'filled', 'bag', 'delivered', 'next', 'morning'",0.1408333333333333,Positive
Trip Verified,"'5', 'days', 'flight', 'advised', 'ba', 'cancelled', 'asked', 'us', 'rebook', 'flights', '1', 'hour', '1', 'hour', 'original', 'flight', 'made', 'us', 'take', 'one', '3', 'hours', 'earlier', 'original', 'ticket', 'return', 'flight', 'week', 'later', 'included', 'checked', 'bag', 'arrive', 'heathrow', 'check', 'told', 'ticket', 'doesnt', 'included', 'bag', 'pay', '75', 'pounds', 'take', 'explained', 'original', 'ticket', 'bags', 'checked', 'system', 'confirmed', 'one', 'would', 'make', 'effort', 'sort', 'told', 'us', 'pay', 'would', 'remove', 'us', 'flight', 'choice', 'pay', 'thinking', 'pretty', 'easy', 'get', 'refund', '15', 'months', '10', 'emails', 'later', 'still', 'seen', 'penny', 'every', 'time', 'ask', 'refund', 'state', 'long', 'waiting', 'get', 'inane', 'email', 'saying', 'departments', 'take', 'longer', 'others', 'respond', 'absolutely', 'hopeless', 'airline', 'stuff', 'booking', 'first', 'place', 'even', 'worse', 'customer', 'service', 'even', 'attempt', 'solve', 'problem', 'check', 'even', 'could', 'see', 'mistake', 'made', 'system', 'compounded', 'unable', 'investigate', 'simple', 'claim', 'refund', '150', 'pounds', '15', 'months'",0.1138888888888889,Positive
Not Verified,"'traveled', 'lisbon', 'dream', 'vacation', 'cruise', 'portugal', 'spain', 'friends', 'ever', 'get', 'luggage', 'two', 'week', 'cruise', 'two', 'weeks', 'without', 'change', 'clothes', 'cpap', 'machine', 'contacting', 'customer', 'service', 'nightmare', 'never', 'talked', 'real', 'person', 'little', 'effort', 'put', 'getting', 'bags', 'one', 'port', 'ship', 'bags', 'airport', 'airlines', 'deliver', 'bags', 'tell', 'friends', 'needed', 'go', 'get', 'airline', '’', 'bothered', 'take', 'bags', 'airport', 'ship', 'ba', 'says', 'policy', 'get', 'bags', 'within', '72', 'hours', 'joke', '’', 'two', 'weeks', 'still', '’', 'back', 'home', 'us', 'last', 'heard', 'bags', 'lisbon', 'choice', 'fly', 'british', 'airways', 'customer', 'service', 'non', 'existent'",0.13541666666666666,Positive
Trip Verified,"'booked', 'flight', 'bucharest', 'manchester', '2h', '45', '’', 'layover', 'heathrow', 'flight', 'delayed', 'bucharest', 'atc', 'strike', 'arrived', 'heathrow', '40', 'minutes', 'later', 'scheduled', 'still', 'enough', 'time', 'catch', 'connecting', 'flight', 'unfortunately', 'stranded', 'plane', 'waited', 'long', 'time', 'disembark', 'plane', 'due', 'lack', 'staff', 'slot', 'shortage', '’', 'common', 'problem', 'ba', 'heathrow', 'missed', 'connecting', 'flight', 'delays', 'told', 'wait', 'night', 'freezing', 'airport', 'first', 'flight', 'next', 'day', 'shameful', '10£', 'food', 'voucher', 'joke', 'considering', 'ridiculous', 'prices', 'lhr', 'accommodation', 'offered', 'sleep', 'cold', 'airport', 'asked', 'compensation', 'sent', 'long', 'text', 'lame', 'excuses', 'sorry', 'compensate', 'anything', '’', 'imagine', 'worst', 'airline', 'ba', 'regarding', 'customer', 'care', 'money', 'rather', 'way', 'treat', 'customers', 'last', 'time', 'lifetime', 'flying', 'joke', 'airline'",-0.2472222222222222,Negative
