word,occurrence
flight,1842
ba,1090
service,691
’,579
london,547
time,486
seat,445
food,443
crew,433
british,421
one,410
good,410
class,406
us,399
staff,399
seats,398
airways,391
business,374
get,369
would,367
cabin,365
hours,344
heathrow,325
back,279
customer,266
told,262
could,259
even,258
airport,257
flights,254
boarding,252
check,252
airline,251
first,248
economy,245
plane,232
hour,222
passengers,221
club,213
experience,203
return,200
new,199
luggage,192
cancelled,188
minutes,187
got,186
fly,186
aircraft,184
2,183
booked,183
lounge,182
never,175
due,173
still,171
two,171
another,171
delayed,169
meal,167
day,164
airlines,164
also,163
like,162
bag,162
made,160
really,160
arrived,159
well,155
3,153
late,152
call,150
next,146
people,146
full,144
offered,143
drinks,141
baggage,140
long,140
given,140
gate,139
make,139
took,138
refund,137
flying,136
travel,135
great,135
said,134
much,134
premium,134
last,133
however,133
days,133
take,131
way,130
asked,129
go,126
via,126
friendly,125
left,123
comfortable,122
pay,122
board,120
paid,119
better,119
times,118
poor,117
checkin,116
booking,113
water,113
trip,113
help,113
nice,113
ticket,111
later,110
phone,108
departure,108
entertainment,107
nothing,107
5,106
served,105
online,105
world,105
find,104
lhr,104
available,103
bags,103
since,102
old,101
small,100
flew,99
without,98
change,98
breakfast,97
many,97
money,96
connecting,96
use,95
used,94
ok,94
number,93
4,93
home,93
overall,91
went,91
delay,91
excellent,90
called,90
wait,89
worst,88
enough,88
though,87
best,87
received,87
years,87
arrival,87
extra,86
website,86
voucher,85
bad,85
cost,84
quite,84
going,84
drink,83
finally,83
found,83
gatwick,83
choice,82
different,82
gave,82
email,82
leg,82
despite,81
security,80
ground,80
air,80
work,80
short,79
although,79
room,78
getting,78
tried,78
free,78
wife,77
row,77
system,76
say,75
waiting,75
lost,74
front,73
missed,73
offer,72
able,72
didnt,71
middle,71
put,71
line,71
1,71
europe,71
terminal,70
ever,70
customers,70
covid,70
half,69
dont,69
hotel,69
around,68
trying,68
know,67
journey,67
came,67
10,66
fine,66
every,66
book,65
quality,65
helpful,65
selection,65
passenger,65
screen,65
problem,64
inflight,64
30,64
desk,64
away,62
little,62
anything,62
checked,62
price,61
pleasant,61
option,61
terrible,61
provided,61
three,60
early,60
want,60
member,60
queue,60
information,60
ife,60
someone,59
rather,59
dinner,59
professional,58
already,58
wine,58
give,58
almost,58
always,58
weeks,58
t5,57
tickets,57
see,57
quick,57
15,57
space,56
second,56
least,56
need,56
flown,56
person,56
sent,56
felt,56
claim,55
aisle,55
process,54
less,54
uncomfortable,54
onboard,54
seemed,53
year,53
waited,53
think,53
managed,53
seating,53
route,53
landed,52
issue,52
meals,52
landing,52
product,52
legroom,52
efficient,52
“,52
spent,51
contact,51
informed,51
far,51
care,51
let,51
point,51
mins,50
”,50
usual,50
done,50
pretty,50
ask,50
actually,50
try,50
clean,49
months,49
cancel,48
hot,48
come,48
night,48
bas,48
haul,48
rebooked,48
app,47
lot,47
part,47
company,47
boarded,47
kept,47
ba,47
working,47
everything,46
agent,46
compensation,46
needed,46
changed,46
holiday,46
rebook,46
lack,45
8,45
total,45
sleep,45
12,45
seems,45
thought,45
onto,45
extremely,44
wifi,44
easy,44
end,44
charge,44
couldnt,44
hard,44
unfortunately,44
right,44
delays,44
rude,43
especially,43
bit,43
connection,43
issues,43
bottle,43
everyone,43
sat,43
avoid,43
using,43
bus,42
several,42
6,42
whole,42
week,42
sure,42
closed,42
reason,42
provide,41
ago,41
may,41
started,41
tea,41
card,41
name,41
sitting,41
attentive,41
yet,41
flight,41
area,40
decided,40
absolutely,40
7,40
understand,40
travelling,40
options,40
snack,40
complaint,40
else,40
quickly,40
course,39
worked,39
longer,39
smooth,39
things,39
plus,39
morning,39
speak,39
20,38
coffee,38
budget,38
response,38
expect,38
within,38
worth,38
additional,38
awful,38
decent,38
happy,38
attendant,38
wanted,38
hold,38
rows,38
rest,38
top,38
expensive,37
either,37
couple,37
eventually,37
missing,37
prior,37
singapore,37
fault,37
outbound,37
thank,37
main,37
uk,37
services,37
looking,37
fact,37
hand,37
instead,36
allowed,36
fast,36
level,36
tell,36
ended,36
feel,36
low,36
lady,36
cramped,36
today,36
wrong,36
offering,35
arrive,35
alternative,35
24,35
limited,35
leave,35
40,35
original,35
behind,35
evening,35
pass,35
anyone,35
standard,35
big,35
leaving,35
situation,35
family,35
problems,34
counter,34
might,34
etc,34
place,34
supposed,34
menu,34
something,34
45,34
minute,33
ahead,33
busy,33
ive,33
happened,33
thing,33
empty,33
american,33
possible,33
wasnt,33
throughout,33
open,33
amazing,33
together,33
cancellation,32
unable,32
madrid,32
look,32
miss,32
taking,32
seated,32
calls,32
refused,32
kind,31
disappointing,31
choose,31
25,31
basic,31
tiny,31
run,31
cold,31
a380,31
im,31
taken,31
window,31
attendants,31
clearly,31
difficult,31
turned,31
making,31
across,30
high,30
city,30
airline,30
experienced,30
forward,30
fee,30
drop,30
earlier,30
amsterdam,30
husband,30
fare,30
receive,30
priority,30
must,30
start,30
case,30
cant,30
slow,29
champagne,29
vouchers,29
review,29
centre,29
worse,29
past,29
disappointed,29
looked,29
schedule,29
overnight,29
status,29
carrier,29
choices,29
moved,29
avios,29
recommend,29
meant,29
gone,29
welcome,29
support,28
scheduled,28
calling,28
keep,28
broken,28
attitude,28
glasgow,28
partner,28
caused,28
delivered,28
add,28
toilet,28
bar,28
saying,28
including,28
control,28
following,28
appalling,28
iberia,28
deck,28
access,28
upon,28
august,27
except,27
paying,27
order,27
points,27
horrible,27
show,27
boeing,27
apparently,27
queues,27
difference,27
clear,27
2022,27
previous,27
upgrade,27
asking,27
toilets,27
march,26
tray,26
plenty,26
credit,26
recent,26
single,26
definitely,26
complete,26
standards,26
side,26
special,26
group,26
storage,26
totally,26
complaints,26
lovely,26
large,26
explanation,26
needs,26
requested,26
simply,26
glass,26
form,26
expected,26
suite,26
real,26
four,25
frequent,25
passport,25
tv,25
ran,25
pm,25
airways,25
average,25
buy,25
close,25
reach,25
dublin,25
assistance,25
south,25
johannesburg,25
arriving,25
narrow,25
2023,25
